Type,Localisation,Latitude,Longitude,Title,Price,Tags
Appartements Casablanca,Casablanca Finance City à Casablanca,,,Somptueux appartement à louer au tour végétal,22 000 DH,"['219 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', ""Moins d'un an"", '11ème étage']"
Appartements Casablanca,Anfa à Casablanca,,,A vendre appartement 86m face ELBILIA lahjajma,1 230 000 DH,"['86 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans', '1er étage']"
Appartements Casablanca,La Gironde à Casablanca,,,A vendre bel appartement 2 chambres Gironde,900 000 DH,"['86 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '10-20 ans', '5ème étage']"
Appartements Casablanca,Bourgogne Ouest à Casablanca,,,A vendre appartement 180m clinique Badr pas cher,2 400 000 DH,"['180 m²', '5 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '3ème étage']"
Appartements Casablanca,Les princesses à Casablanca,33.5742088,-7.644182400000005,Appartement 3 chambres yaacoub almansour pas cher,1 550 000 DH,"['120 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '5-10 ans', '5ème étage']"
Appartements Casablanca,Bourgogne Ouest à Casablanca,,,A vendre bel appartement de 3 chambres BOURGOGNE,1 450 000 DH,"['113 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans', '1er étage']"
Appartements Casablanca,Triangle d'Or à Casablanca,33.582734173084866,-7.675838470458984,Appartement luxe à vendre Triangle d'or,4 800 000 DH,"['245 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '3ème étage']"
Appartements Casablanca,Maârif Extension à Casablanca,,,Joli appartement romandie 2 a vendre,1 700 000 DH,"['110 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '20-30 ans']"
Appartements Casablanca,Anassi à Casablanca,,,Superbe appartement à vendre à Anassi alliance,330 000 DH,"['50 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans', '1er étage']"
Villas & maisons de luxe Casablanca,Californie à Casablanca,33.53595755299843,-7.625627517700195,Vente villa 400m² avec jardin Californie,7 500 000 DH,"['400 m²', '8 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état']"
Appartements Casablanca,Triangle d'Or à Casablanca,33.582734173084866,-7.675838470458984,Vente magnifique appartement 144m² Triangle d'or,3 600 000 DH,"['144 m²', '5 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état']"
Appartements Casablanca,Maârif à Casablanca,33.58602331802259,-7.636442184448242,Très bel appartement en vente,1 750 000 DH,"['113 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '4ème étage']"
Appartements Casablanca,Bourgogne Ouest à Casablanca,,,Appartement neuf de très haut standing,2 590 000 DH,"['100 m²', '3 Pièces', '2 Chambres', '3 Salles de bains', 'Nouveau', ""Moins d'un an"", '6ème étage']"
Appartements Casablanca,Triangle d'Or à Casablanca,33.582734173084866,-7.675838470458984,Penthouse neuf de très haut standing 10 ème étage,3 300 000 DH,"['121 m²', '3 Pièces', '1 Chambre', '2 Salles de bains', 'Nouveau', ""Moins d'un an"", '10ème étage']"
Appartements Casablanca,Racine à Casablanca,33.592458238962855,-7.648158073425293,Studio meublé Racine très haut standing,1 300 000 DH,"['48 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1-5 ans', '2ème étage']"
Appartements Casablanca,Gauthier à Casablanca,,,"Appartement a vendre sur Gauthier, ensoleillé et terrasse",2 900 000 DH,"['230 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '7ème étage']"
Appartements Casablanca,La Gironde à Casablanca,33.58505803848486,-7.601637840270996,Ente appartement meublé à la Gironde,1 290 000 DH,"['105 m²', '7 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '5-10 ans', '1er étage']"
Appartements Casablanca,Val Fleury à Casablanca,,,Un magnifique appartement neuf à vendre,2 219 000 DH,"['124 m²', '8 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']"
Appartements Casablanca,Anfa à Casablanca,,,Appartement à vendre à Anfa. 6 grandes pièces. Ascenseur et garage,2 408 000 DH,"['165 m²', '6 Pièces', '4 Chambres', '2 Salles de bains', 'Bon état', '9ème étage']"
Appartements Casablanca,Val Fleury à Casablanca,33.63154039181085,-7.6297176422365,Vente d'un bel appartement de haut standing,2 500 000 DH,"['137 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', ""Moins d'un an"", '2ème étage']"
Appartements Casablanca,Gauthier à Casablanca,,,Très bel appartement à vendre à Gauthier,1 870 000 DH,"['107 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau', '6ème étage']"
Appartements Casablanca,Maârif à Casablanca,33.58602331802259,-7.636442184448242,2 studios à vendre à Maarif,860 000 DH,"['51 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1-5 ans', '2ème étage']"
Appartements Casablanca,Gauthier à Casablanca,,,Appartement neuf ths gauthier au 3ème étage,2 300 000 DH,"['88 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']"
Villas & maisons de luxe Casablanca,Anfa à Casablanca,,,TerrainANFA Sur Bv. Driss SLAOUI,11 900 000 DH,"['625 m²', '6 Pièces', '5 Chambres', '6 Salles de bains', 'À rénover', '30-50 ans']"
Villas & maisons de luxe Casablanca,Anfa à Casablanca,,,VillaANFA ANGLE Sur Bv. DrissSLAOUI,27 000 000 DH,"['1000 m²', '6 Pièces', '6 Chambres', '7 Salles de bains', 'À rénover', '30-50 ans']"
Appartements Casablanca,Maârif Extension à Casablanca,33.57987394514173,-7.646827697753906,Appartement 87m Haut Standing A Maarif Extension,1 200 000 DH,"['87 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Les princesses à Casablanca,,,Appartement 89m A Les Princesses,930 000 DH,"['89 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Val Fleury à Casablanca,,,Appartement 82 m2 Haut Standing A Val Fleuri,1 290 000 DH,"['81 m²', '4 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état']"
Appartements Casablanca,Beauséjour à Casablanca,33.568610876168464,-7.648673057556152,Appartements Neuf 75m 88m 110m Beauséjour,1 125 000 DH,"['75 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau']"
Appartements Casablanca,Riviera à Casablanca,,,Appartements Neuf 80m 130m Luxe A Riviera,1 600 000 DH,"['80 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau', ""Moins d'un an""]"
Villas & maisons de luxe Casablanca,Sidi Maarouf à Casablanca,,,Villa 400m A Florida Proche Carrefour,5 500 000 DH,"['400 m²', '7 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état']"
Appartements Casablanca,Val Fleury à Casablanca,33.57519011717882,-7.636785507202148,Appartement 225m Sans Vis A Vis 4 Ch A Val Fleuri,3 000 000 DH,"['225 m²', '6 Pièces', '4 Chambres', '4 Salles de bains', 'Bon état']"
Appartements Casablanca,Val Fleury à Casablanca,33.57519011717882,-7.636785507202148,Appartement 160m Haut Standing A Val Fleuri,2 200 000 DH,"['160 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Ain Diab à Casablanca,33.58630932470067,-7.671375274658203,Plusieurs appartements de luxe à vendre,4 500 000 DH,"['238 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']"
Appartements Casablanca,Racine Extension à Casablanca,,,Vente d'un joli appartement à Racine extension,3 400 000 DH,"['198 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '4ème étage']"
Appartements Casablanca,Racine à Casablanca,,,Appartement lumineux neuf de très haut standing,2 800 000 DH,"['107 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '5ème étage']"
Villas & maisons de luxe Casablanca,Californie à Casablanca,33.53620795401007,-7.588162422180375,"Propriété d'exception sur 4037m², Californie Casa",45 000 000 DH,"['4037 m²', '12 Pièces', '6 Chambres', '7 Salles de bains', 'Bon état', '10-20 ans']"
Appartements Casablanca,Gauthier à Casablanca,,,"Appartement a vendre Gauthier, luxe, terasse",4 200 000 DH,"['244 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', '5-10 ans', '6ème étage']"
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,"Duplex 6 ème étage, terrasse ensoleillé 446m",4 900 000 DH,"['446 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état', '1-5 ans', '6ème étage']"
Appartements Casablanca,Gauthier à Casablanca,,,Appartement a vendre sur Gauthier,3 400 000 DH,"['229 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '1er étage']"
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,Appartement a vendre Gauthier,4 200 000 DH,"['200 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', '1-5 ans', '1er étage']"
Appartements Casablanca,Ain Diab à Casablanca,,,Rez de Jardin refait à neuf,2 256 000 DH,"['94 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans']"
Appartements Casablanca,Casablanca Finance City à Casablanca,,,FAUBOURGS D'ANFA Belle terrasse sans vis à vis,2 090 000 DH,"['99 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '3ème étage']"
Appartements Casablanca,Racine à Casablanca,33.592458238962855,-7.648158073425293,"Très bel appartement à vendre, 183 m2, Racine",3 500 000 DH,"['183 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '4ème étage']"
Appartements Casablanca,Palmier à Casablanca,33.57154299116339,-7.636313438415527,Appt a vendre a palmier sup 258 m 4 ch,3 800 000 DH,"['258 m²', '7 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '4ème étage']"
Appartements Casablanca,Californie à Casablanca,,,Appartement Rez de jardin de 145m² en vente UTOPIA,1 558 920 DH,"['145 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']"
Appartements Casablanca,El Manar - El Hank à Casablanca,,,"Appartement de 97m² en vente, Les terrasses d'anfa",,"['97 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']"
Appartements Casablanca,Oasis à Casablanca,,,Appartement au RDC de 96m² en vente Résidence Les Palmiers,1 540 000 DH,"['96 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau']"
Appartements Casablanca,Oasis à Casablanca,,,Appartement de 59m² en vente Résidence Les Palmiers,1 239 000 DH,"['59 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Nouveau', '1er étage']"
Appartements Casablanca,Oasis à Casablanca,,,Appartement de 59m² en vente Résidence Les Palmiers,1 239 000 DH,"['59 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1er étage']"
Appartements Casablanca,Oasis à Casablanca,,,Appartement de 56m² en vente Résidence Les Palmiers,1 176 000 DH,"['56 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Nouveau', '1er étage']"
Appartements Casablanca,La Gironde à Casablanca,,,"Appartement de 90 m² en vente, Résidence Shangai",1 035 000 DH,"['90 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau', '5ème étage']"
Appartements Casablanca,Hay Lmkansa à Casablanca,,,Vend appartement à Hay Lmkansa. 3 pièces confortables. Parking et terrasse,,"['82 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Nouveau', '1-5 ans', '3ème étage']"
Villas & maisons de luxe Casablanca,CIL (Hay Salam) à Casablanca,,,Villa commercial dune superficie de 400m2 au cil,10 400 000 DH,"['400 m²', '3 Pièces', '5 Chambres', '3 Salles de bains', 'À rénover', '20-30 ans']"
Villas & maisons de luxe Casablanca,Racine Extension à Casablanca,33.59056356209817,-7.640819549560547,"Magnifique villa à vendre à Racine Extension. 5 pièces confortables. Porte blindée, salon marocain",3 400 000 DH,"['122 m²', '5 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état', '20-30 ans']"
Villas & maisons de luxe Casablanca,Les Crêtes à Casablanca,,,"Magnifique villa à vendre à Les Crêtes. 4 chambres. Piscine, climatisation",9 000 000 DH,"['800 m²', '5 Pièces', '4 Chambres', '3 Salles de bains', 'Bon état']"
Villas & maisons de luxe Casablanca,Sidi Maarouf à Casablanca,,,Villa 330m2 Moderne A Islan,3 900 000 DH,"['330 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état']"
Appartements Casablanca,Val Fleury à Casablanca,,,Appartement 77m Haut Standing A Val Fleuri Maarif,1 030 000 DH,"['77 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Les princesses à Casablanca,33.57154299116339,-7.636313438415527,Appartement 150m Haut Standing A Les Princesses,2 200 000 DH,"['150 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état']"
Appartements Casablanca,Maârif Extension à Casablanca,,,Vente d'un bel appartement à Casablanca. 3 chambres. Ascenseur et stationnement,1 650 000 DH,"['113 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']"
Appartements Casablanca,Les princesses à Casablanca,33.57154299116339,-7.636313438415527,Appartement 121m Haut Standing A Les Princesses,1 810 000 DH,"['121 m²', '4 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Les princesses à Casablanca,,,Appartement 131m Haut Standing A Les Princesses,1 950 000 DH,"['131 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Les princesses à Casablanca,,,Appartement 130m Neuf Luxe A Les Princesses,2 500 000 DH,"['130 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Nouveau']"
Appartements Casablanca,Les Hôpitaux à Casablanca,,,Appartement 155m Meublé Proche Pasteur,1 700 000 DH,"['155 m²', '4 Pièces', '3 Chambres', '2 Salles de bains', 'Bon état']"
Appartements Casablanca,Maârif à Casablanca,,,Studio 59m Neuf Prés BD Biranzaran,920 000 DH,"['59 m²', '2 Pièces', '1 Chambre', '2 Salles de bains', 'Nouveau']"
Appartements Casablanca,Val Fleury à Casablanca,,,Vend appartement 121m Luxe A Val Fleuri,1 550 000 DH,"['121 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '5-10 ans']"
Appartements Casablanca,Ain Diab à Casablanca,33.58630932470067,-7.671375274658203,Plusieurs appartements de luxe à vendre,4 500 000 DH,"['238 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '3ème étage']"
Appartements Casablanca,Racine Extension à Casablanca,33.59056356209817,-7.640819549560547,Vente d'un joli appartement à Racine extension,3 400 000 DH,"['198 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '10-20 ans', '4ème étage']"
Appartements Casablanca,Racine à Casablanca,,,Appartement lumineux neuf de très haut standing,2 800 000 DH,"['107 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', ""Moins d'un an"", '5ème étage']"
Villas & maisons de luxe Casablanca,Californie à Casablanca,33.53620795401007,-7.588162422180375,"Propriété d'exception sur 4037m², Californie Casa",45 000 000 DH,"['4037 m²', '12 Pièces', '6 Chambres', '7 Salles de bains', 'Bon état', '10-20 ans']"
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,"Appartement a vendre Gauthier, luxe, terasse",4 200 000 DH,"['244 m²', '4 Pièces', '3 Chambres', '4 Salles de bains', 'Nouveau', '5-10 ans', '6ème étage']"
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,"Duplex 6 ème étage, terrasse ensoleillé 446m",4 900 000 DH,"['446 m²', '6 Pièces', '5 Chambres', '4 Salles de bains', 'Bon état', '1-5 ans', '6ème étage']"
Appartements Casablanca,Gauthier à Casablanca,,,Appartement a vendre sur Gauthier,3 400 000 DH,"['229 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '1er étage']"
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,Appartement a vendre Gauthier,4 200 000 DH,"['200 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Nouveau', '1-5 ans', '1er étage']"
