Type,Localisation,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2
Appartements,Casablanca Finance City,22000,219.0,4.0,3.0,3.0,11.0,"['Nouveau', ""Moins d'un an""]",100.45662100456622
Appartements,Anfa,1230000,86.0,3.0,2.0,2.0,1.0,"['Bon état', '10-20 ans']",14302.32558139535
Appartements,La Gironde,900000,86.0,3.0,2.0,1.0,5.0,"['Bon état', '10-20 ans']",10465.116279069767
Appartements,Bourgogne Ouest,2400000,180.0,5.0,3.0,3.0,3.0,"['Bon état', '10-20 ans']",13333.333333333334
Appartements,Les princesses,1550000,120.0,5.0,3.0,2.0,5.0,"['Bon état', '5-10 ans']",12916.666666666666
Appartements,Bourgogne Ouest,1450000,113.0,4.0,3.0,2.0,1.0,"['Bon état', '10-20 ans']",12831.858407079646
Appartements,Triangle d'Or,4800000,245.0,4.0,3.0,3.0,3.0,"['Bon état', '10-20 ans']",19591.836734693876
Appartements,Anassi,330000,50.0,3.0,2.0,1.0,1.0,"['Bon état', '5-10 ans']",6600.0
Villas,Californie,7500000,400.0,8.0,5.0,4.0,0.0,['Bon état'],18750.0
Appartements,Maârif,1750000,113.0,3.0,2.0,2.0,4.0,"['Nouveau', '1-5 ans']",15486.725663716814
Appartements,Bourgogne Ouest,2590000,100.0,3.0,2.0,3.0,6.0,"['Nouveau', ""Moins d'un an""]",25900.0
Appartements,Triangle d'Or,3300000,121.0,3.0,1.0,2.0,10.0,"['Nouveau', ""Moins d'un an""]",27272.727272727272
Appartements,Racine,1300000,48.0,2.0,1.0,1.0,2.0,"['Nouveau', '1-5 ans']",27083.333333333332
Appartements,Gauthier,2900000,230.0,4.0,3.0,3.0,7.0,"['Bon état', '10-20 ans']",12608.695652173914
Appartements,La Gironde,1290000,105.0,7.0,2.0,2.0,1.0,"['Bon état', '5-10 ans']",12285.714285714286
Appartements,Val Fleury,2219000,124.0,8.0,3.0,3.0,3.0,"['Nouveau', ""Moins d'un an""]",17895.16129032258
Appartements,Anfa,2408000,165.0,6.0,4.0,2.0,9.0,['Bon état'],14593.939393939394
Appartements,Val Fleury,2500000,137.0,4.0,3.0,3.0,2.0,"['Nouveau', ""Moins d'un an""]",18248.17518248175
Appartements,Gauthier,1870000,107.0,4.0,3.0,2.0,6.0,['Nouveau'],17476.635514018693
Appartements,Maârif,860000,51.0,2.0,1.0,1.0,2.0,"['Nouveau', '1-5 ans']",16862.745098039217
Appartements,Gauthier,2300000,88.0,3.0,2.0,2.0,3.0,"['Nouveau', ""Moins d'un an""]",26136.363636363636
Villas,Anfa,11900000,625.0,6.0,5.0,6.0,0.0,"['À rénover', '30-50 ans']",19040.0
Villas,Anfa,27000000,1000.0,6.0,6.0,7.0,0.0,"['À rénover', '30-50 ans']",27000.0
Villas,Sidi Maarouf,5500000,400.0,7.0,5.0,4.0,0.0,['Bon état'],13750.0
Appartements,Ain Diab,4500000,238.0,4.0,3.0,4.0,3.0,"['Nouveau', ""Moins d'un an""]",18907.563025210085
Appartements,Racine Extension,3400000,198.0,4.0,3.0,3.0,4.0,"['Bon état', '10-20 ans']",17171.717171717173
Appartements,Racine,2800000,107.0,4.0,3.0,4.0,5.0,"['Nouveau', ""Moins d'un an""]",26168.22429906542
Villas,Californie,45000000,4037.0,12.0,6.0,7.0,0.0,"['Bon état', '10-20 ans']",11146.891255883082
Appartements,Gauthier,4200000,244.0,4.0,3.0,4.0,6.0,"['Nouveau', '5-10 ans']",17213.114754098362
Appartements,Gauthier,4900000,446.0,6.0,5.0,4.0,6.0,"['Bon état', '1-5 ans']",10986.547085201793
Appartements,Gauthier,3400000,229.0,4.0,3.0,3.0,1.0,"['Bon état', '5-10 ans']",14847.161572052402
Appartements,Gauthier,4200000,200.0,4.0,3.0,3.0,1.0,"['Nouveau', '1-5 ans']",21000.0
Appartements,Casablanca Finance City,2090000,99.0,3.0,2.0,2.0,3.0,"['Nouveau', '1-5 ans']",21111.11111111111
Appartements,Racine,3500000,183.0,5.0,3.0,2.0,4.0,['Bon état'],19125.683060109288
Appartements,Palmier,3800000,258.0,7.0,4.0,3.0,4.0,"['Bon état', '5-10 ans']",14728.682170542636
Appartements,Oasis,1239000,59.0,3.0,2.0,1.0,1.0,['Nouveau'],21000.0
Appartements,Oasis,1176000,56.0,2.0,1.0,1.0,1.0,['Nouveau'],21000.0
Appartements,La Gironde,1035000,90.0,4.0,3.0,2.0,5.0,['Nouveau'],11500.0
Villas,CIL (Hay Salam),10400000,400.0,3.0,5.0,3.0,0.0,"['À rénover', '20-30 ans']",26000.0
Villas,Racine Extension,3400000,122.0,5.0,3.0,2.0,0.0,"['Bon état', '20-30 ans']",27868.852459016394
Villas,Les Crêtes,9000000,800.0,5.0,4.0,3.0,0.0,['Bon état'],11250.0
Villas,Sidi Maarouf,3900000,330.0,6.0,5.0,4.0,0.0,['Bon état'],11818.181818181818
Appartements,Les princesses,1570000,105.0,3.0,2.0,2.0,1.0,"['Bon état', '5-10 ans']",14952.380952380952
Villas,Californie,16000000,1076.0,6.0,5.0,6.0,0.0,"['Bon état', '10-20 ans']",14869.888475836431
Appartements,Maârif,1000000,66.0,3.0,2.0,1.0,2.0,['Nouveau'],15151.515151515152
Appartements,Californie,1688960,104.0,3.0,2.0,2.0,1.0,['Nouveau'],16240.0
Appartements,Californie,1771840,113.0,4.0,3.0,2.0,3.0,['Nouveau'],15680.0
Appartements,Californie,1624000,100.0,4.0,3.0,2.0,4.0,[],16240.0
Appartements,Bourgogne Ouest,1200000,51.0,2.0,1.0,1.0,3.0,"['Nouveau', ""Moins d'un an""]",23529.41176470588
Appartements,Maârif,850000,40.0,2.0,1.0,1.0,3.0,"['Nouveau', ""Moins d'un an""]",21250.0
Appartements,Maârif,2020750,100.0,4.0,2.0,2.0,3.0,['Nouveau'],20207.5
Appartements,Californie,1642500,91.0,4.0,3.0,2.0,4.0,['Nouveau'],18049.45054945055
Appartements,Casablanca Finance City,1789000,96.0,3.0,2.0,2.0,1.0,['Nouveau'],18635.416666666668
Appartements,Anfa,1050000,63.0,3.0,2.0,2.0,1.0,"['Nouveau', ""Moins d'un an""]",16666.666666666668
Appartements,Racine,1950000,99.0,4.0,2.0,2.0,4.0,"['Bon état', '10-20 ans']",19696.969696969696
Appartements,Bourgogne Est,2300000,160.0,3.0,2.0,2.0,3.0,"['Nouveau', '1-5 ans']",14375.0
Appartements,Maârif,3500000,243.0,4.0,3.0,3.0,5.0,"['Bon état', '20-30 ans']",14403.292181069959
Villas,Ain Diab,27000000,1180.0,7.0,4.0,6.0,0.0,"['Nouveau', '1-5 ans']",22881.35593220339
Appartements,Maârif Extension,1200000,95.0,3.0,2.0,2.0,7.0,"['Bon état', '10-20 ans']",12631.578947368422
Riad,Ain Diab Extension,7300000,395.0,7.0,4.0,3.0,0.0,"['Nouveau', '5-10 ans']",18481.01265822785
Villas,Californie,7900000,450.0,4.0,3.0,3.0,0.0,"['Bon état', '5-10 ans']",17555.555555555555
Appartements,Hay Alamal,800000,76.0,3.0,2.0,1.0,4.0,"['Bon état', '1-5 ans']",10526.315789473685
Appartements,Mers Sultan,910000,91.0,4.0,3.0,2.0,7.0,"['Bon état', '10-20 ans']",10000.0
Appartements,Beauséjour,1222000,106.0,3.0,2.0,2.0,4.0,"['Bon état', '5-10 ans']",11528.301886792453
Appartements,Californie,1602050,96.0,4.0,3.0,3.0,1.0,['Nouveau'],16688.020833333332
Appartements,Californie,1691200,100.0,4.0,3.0,2.0,3.0,['Nouveau'],16912.0
Appartements,Californie,1547620,94.0,4.0,3.0,2.0,4.0,['Nouveau'],16464.042553191488
Appartements,Oasis,1386000,63.0,3.0,2.0,1.0,3.0,['Nouveau'],22000.0
Appartements,Oasis,1298000,59.0,2.0,1.0,1.0,3.0,['Nouveau'],22000.0
Appartements,Racine,1850000,82.0,3.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",22560.975609756097
Appartements,Les princesses,3200000,200.0,6.0,3.0,3.0,5.0,"['Bon état', '5-10 ans']",16000.0
Appartements,Racine,1800000,82.0,5.0,2.0,1.0,2.0,"['Bon état', '5-10 ans']",21951.219512195123
Appartements,Oasis,2701000,151.0,4.0,3.0,2.0,1.0,['Nouveau'],17887.417218543047
Appartements,Californie,1539000,114.0,3.0,2.0,2.0,3.0,['Nouveau'],13500.0
Appartements,Racine,4300000,182.0,6.0,3.0,2.0,5.0,"['Bon état', '10-20 ans']",23626.373626373625
Villas,CIL (Hay Salam),10900000,565.0,5.0,4.0,3.0,0.0,['Bon état'],19292.035398230088
Villas,Sidi Maarouf,4800000,250.0,5.0,3.0,3.0,0.0,['Bon état'],19200.0
Villas,Laymoune,7800000,392.0,8.0,5.0,5.0,0.0,"['Bon état', '10-20 ans']",19897.95918367347
Appartements,Gauthier,3328000,228.0,3.0,3.0,3.0,3.0,"['Bon état', '20-30 ans']",14596.491228070176
Villas,Californie,5500000,256.0,6.0,4.0,4.0,0.0,['Bon état'],21484.375
Appartements,Bourgogne Ouest,2150000,131.0,4.0,3.0,2.0,4.0,"['Bon état', '10-20 ans']",16412.213740458013
Villas,Ain Diab Extension,13000000,608.0,6.0,5.0,6.0,0.0,"['Bon état', '5-10 ans']",21381.57894736842
Villas,Longchamps (Hay Al Hanâa),10500000,600.0,6.0,6.0,6.0,0.0,"['Bon état', '10-20 ans']",17500.0
Villas,Californie,17000000,780.0,10.0,7.0,8.0,0.0,"['Bon état', '10-20 ans']",21794.871794871793
Appartements,CIL (Hay Salam),2400000,175.0,5.0,4.0,2.0,5.0,"['Bon état', '5-10 ans']",13714.285714285714
Villas,Ain Diab,18525000,1235.0,10.0,7.0,8.0,0.0,"['À rénover', '30-50 ans']",15000.0
Villas,Les princesses,14000000,1068.0,8.0,5.0,6.0,0.0,"['À rénover', '30-50 ans']",13108.614232209738
Appartements,Casablanca Finance City,2350000,116.0,3.0,2.0,2.0,1.0,"['Nouveau', '1-5 ans']",20258.620689655174
Villas,Longchamps (Hay Al Hanâa),11700000,470.0,3.0,5.0,4.0,0.0,"['Bon état', '10-20 ans']",24893.617021276597
Appartements,Bourgogne Ouest,2500000,131.0,2.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",19083.969465648854
Villas,Californie,7500000,434.0,4.0,4.0,4.0,0.0,"['Bon état', '10-20 ans']",17281.10599078341
Villas,El Manar - El Hank,10000000,490.0,9.0,5.0,5.0,0.0,"['Bon état', '10-20 ans']",20408.163265306124
Villas,Ain Diab Extension,7500000,395.0,9.0,5.0,2.0,0.0,"['Bon état', '10-20 ans']",18987.3417721519
Villas,El Manar - El Hank,7600000,480.0,1.0,1.0,1.0,0.0,"['À rénover', '20-30 ans']",15833.333333333334
Villas,Sidi Maarouf,6800000,450.0,7.0,4.0,4.0,0.0,"['Nouveau', '1-5 ans']",15111.111111111111
Villas,Californie,16000000,1000.0,5.0,4.0,3.0,0.0,['Bon état'],16000.0
Villas,Californie,35000000,2500.0,4.0,4.0,4.0,0.0,"['Bon état', '5-10 ans']",14000.0
Appartements,Racine,2800000,126.0,4.0,3.0,2.0,2.0,['Bon état'],22222.222222222223
